nest,nest_success
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-MRC3-3-1,NA
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-SRB1-3-1,no
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-MRC1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-SRB1-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-DRT2-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
02SR-MRCV-1-1,yes
